year,min,mean,median,max,std,valid_count,total_pixels,coverage_pct
2016,0.0,0.09553267061710358,0.015367699787020683,10.434082984924316,0.2566159963607788,740656,1136655,65.16102071428885
2017,0.0,0.3482375741004944,0.06459278613328934,20.06987953186035,0.7284494638442993,740656,1136655,65.16102071428885
2018,0.0,0.19049221277236938,0.03347635269165039,14.10472583770752,0.4237554967403412,740656,1136655,65.16102071428885
2019,0.0,0.4706030786037445,0.08523280918598175,28.740880966186523,0.985134482383728,740656,1136655,65.16102071428885
2020,0.0,0.34407705068588257,0.06955455243587494,20.416179656982422,0.722697913646698,740656,1136655,65.16102071428885
2021,0.0,0.2707148790359497,0.05585493519902229,16.387405395507812,0.5605894327163696,740656,1136655,65.16102071428885
2022,0.0,0.2634655833244324,0.051571667194366455,18.209701538085938,0.58287113904953,740656,1136655,65.16102071428885
2023,0.0,0.23021268844604492,0.041081152856349945,16.059955596923828,0.5139343738555908,740656,1136655,65.16102071428885
2024,0.0,0.3087787330150604,0.05629595369100571,20.198650360107422,0.6770512461662292,740656,1136655,65.16102071428885
2025,0.0,0.35797426104545593,0.06625640392303467,21.66038703918457,0.759013831615448,740656,1136655,65.16102071428885
